"rule_id","rule_name","pattern_it_recognizes"
"rule_a4c1c0e387dddfce","exact_unsubscribe","/^unsubscribe$/gi"
"rule_65a3f22dd3ce5a39","deterministic.indirect.021","/finished|pause|shush|stfu/gi"
"rule_ba68ddf2ec042ef4","deterministic.indirect.017","/i (don't|dont) know you/gi"
"rule_1fc84bcaffc4ee00","not_accepting_messages","/not\s+accepting\s+(?:messages|texts|emails)/gi"
"rule_f0e74f42f8079aa9","autoQAMessages.labels.supplemental.opt_out_device_not_working.001.this_phone_number_device_doesn_t_t_does_not_cannot_can_not_cant_receiv","/\b(?:this\s+)?(?:phone|number|device)\s+(?:doesn(?:t| t)|does\s+not|cannot|can\s+not|cant)\s+(?:receive|accept|support)\s+(?:texts?|messages?|sms)\b/ig"
"rule_4daf1fa5e367112d","autoQAMessages.labels.supplemental.phrases.003.please_remove_take_my_number_off_from_your_distribution_mailing_text_s","/\b(?:please\s+)?(?:remove|take)\s+my\s+number\s+(?:off|from)\s+(?:your\s+)?(?:distribution|mailing|text|sms)\s+list\b/ig"
"rule_9b899e453e806196","autoQAMessages.labels.supplemental.phrases.005.please_don_t_t_inundate_me_with_texts_messages_sms","/\b(?:please\s+)?don(?:t| t)\s+inundate\s+me\s+with\s+(?:texts?|messages?|sms)\b/ig"
"rule_55013d49a8cc3a19","autoQAMessages.labels.supplemental.phrases.006.can_you_not_message_me_n","/\bcan\s+you\s+not\s+message\s+me\b[^\n.!?]*/gi"
"rule_8f694afdadacc39d","autoQAMessages.labels.supplemental.phrases.004.i_don_t_t_want_any_more_mail_texts_messages_sms","/\bi\s+don(?:t| t)\s+want\s+(?:any\s+)?(?:more\s+)?(?:mail|texts?|messages?|sms)\b/ig"
"rule_bbcc672b6eefd763","opt_outs_ml.regex_rules.015.random","/^michaels michaels$/giu"
"rule_0e8c9173435a3c9c","opt_outs_ml.regex_rules.016.random","/^michaels$/giu"
"rule_8556b4efa88e3725","opt_outs_ml.regex_rules.014.random","/^nice$/giu"
"rule_926dd5f42a30c361","opt_outs_ml.regex_rules.017.random","/^oh$/giu"
"rule_575e274a95cf8ee3","opt_outs_ml.regex_rules.012.random","/^save$/giu"
"rule_61d7cb5e4ee5df36","opt_outs_ml.regex_rules.019.random","/^sri$/giu"
"rule_d050d9d2e8a45584","opt_outs_ml.regex_rules.013.random","/^take10$/giu"
"rule_37b5dc0ba75d0492","opt_outs_ml.regex_rules.097.random","/^test$/giu"
"rule_b5c80261e33ce980","opt_outs_ml.regex_rules.090.random","/^welcome15$/giu"
"rule_6bce397042505948","opt_outs_ml.regex_rules.009.scam","/^10 shein freebies and a 50 allowance for the lucky just click and claim\s+so easy$/giu"
"rule_510bd44ff37f855b","opt_outs_ml.regex_rules.007.scam","/^claim 5 free shein products now click the link to help and lets both win big$/giu"
"rule_abc7957d4b3e692a","opt_outs_ml.regex_rules.006.scam","/^could you do me a huge favor please accept my invite so that i can get free gifts$/giu"
"rule_f96b1e3bc526392a","optOutClassifier.json.patterns.47","/\b(s|a|d)top\b/gi"
"rule_362b6d62919ca7c8","opt_outs_ml.regex_rules.096.thanks","/^thank u$/giu"
"rule_5525e07ed34651a0","opt_outs_ml.regex_rules.064.thanks","/^thank you so much$/giu"
"rule_5928beb377b3ed31","opt_outs_ml.regex_rules.063.thanks","/^thank you$/giu"
